"ChineseFile","EnglishFile","StructureMatch","ChineseCounts","EnglishCounts"
"关于我们—服务条款子页面.html","terms-of-service.html","yes","{""sections"":9,""cards"":13,""links"":125,""buttons"":1,""images"":13,""h1"":1,""h2"":4,""h3"":4}","{""sections"":9,""cards"":13,""links"":125,""buttons"":1,""images"":13,""h1"":1,""h2"":4,""h3"":4}"
"关于我们—公司介绍子页面.html","about-company.html","yes","{""sections"":8,""cards"":13,""links"":121,""buttons"":1,""images"":13,""h1"":1,""h2"":4,""h3"":8}","{""sections"":8,""cards"":13,""links"":121,""buttons"":1,""images"":13,""h1"":1,""h2"":4,""h3"":8}"
"关于我们—关于部分.html","about.html","yes","{""sections"":10,""cards"":14,""links"":125,""buttons"":1,""images"":13,""h1"":1,""h2"":6,""h3"":10}","{""sections"":10,""cards"":14,""links"":125,""buttons"":1,""images"":13,""h1"":1,""h2"":6,""h3"":10}"
"关于我们—隐私政策子页面.html","privacy-policy.html","yes","{""sections"":9,""cards"":13,""links"":125,""buttons"":1,""images"":13,""h1"":1,""h2"":4,""h3"":4}","{""sections"":9,""cards"":13,""links"":125,""buttons"":1,""images"":13,""h1"":1,""h2"":4,""h3"":4}"
"关于我们—质量保证子页面.html","about-quality.html","yes","{""sections"":7,""cards"":13,""links"":121,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":4}","{""sections"":7,""cards"":13,""links"":121,""buttons"":1,""images"":13,""h1"":1,""h2"":3,""h3"":4}"
"解决方案中心—2D气泡图标注子页面.html","solution-bubble-annotation.html","yes","{""sections"":8,""cards"":13,""links"":122,""buttons"":1,""images"":13,""h1"":1,""h2"":4,""h3"":5}","{""sections"":8,""cards"":13,""links"":122,""buttons"":1,""images"":13,""h1"":1,""h2"":4,""h3"":5}"
"解决方案中心—3D格式转换子页面.html","solution-format-conversion.html","yes","{""sections"":8,""cards"":13,""links"":122,""buttons"":1,""images"":13,""h1"":1,""h2"":4,""h3"":5}","{""sections"":8,""cards"":13,""links"":122,""buttons"":1,""images"":13,""h1"":1,""h2"":4,""h3"":5}"
"解决方案中心—3D转2D工程图子页面.html","solution-3d-to-2d-drawing.html","yes","{""sections"":8,""cards"":13,""links"":122,""buttons"":1,""images"":13,""h1"":1,""h2"":4,""h3"":5}","{""sections"":8,""cards"":13,""links"":122,""buttons"":1,""images"":13,""h1"":1,""h2"":4,""h3"":5}"
"解决方案中心—解决方案部分.html","solutions.html","no","{""sections"":12,""cards"":22,""links"":131,""buttons"":1,""images"":40,""h1"":1,""h2"":8,""h3"":13}","{""sections"":9,""cards"":22,""links"":135,""buttons"":1,""images"":24,""h1"":1,""h2"":5,""h3"":13}"
"解决方案中心—快速报价子页面.html","solution-quick-quote.html","yes","{""sections"":8,""cards"":13,""links"":122,""buttons"":1,""images"":13,""h1"":1,""h2"":4,""h3"":5}","{""sections"":8,""cards"":13,""links"":122,""buttons"":1,""images"":13,""h1"":1,""h2"":4,""h3"":5}"
"解决方案中心—快速原型子页面.html","solution-rapid-prototyping.html","yes","{""sections"":8,""cards"":16,""links"":122,""buttons"":1,""images"":13,""h1"":1,""h2"":4,""h3"":7}","{""sections"":8,""cards"":16,""links"":122,""buttons"":1,""images"":13,""h1"":1,""h2"":4,""h3"":7}"
"解决方案中心—图生3D模型子页面.html","solution-image-to-3d.html","yes","{""sections"":8,""cards"":13,""links"":122,""buttons"":1,""images"":13,""h1"":1,""h2"":4,""h3"":5}","{""sections"":8,""cards"":13,""links"":122,""buttons"":1,""images"":13,""h1"":1,""h2"":4,""h3"":5}"
"解决方案中心—文生3D模型子页面.html","solution-text-to-3d.html","yes","{""sections"":8,""cards"":13,""links"":122,""buttons"":1,""images"":13,""h1"":1,""h2"":4,""h3"":5}","{""sections"":8,""cards"":13,""links"":122,""buttons"":1,""images"":13,""h1"":1,""h2"":4,""h3"":5}"
"解决方案中心—智能报价子页面.html","solution-instant-quoting.html","yes","{""sections"":8,""cards"":14,""links"":124,""buttons"":1,""images"":12,""h1"":1,""h2"":4,""h3"":5}","{""sections"":8,""cards"":14,""links"":124,""buttons"":1,""images"":12,""h1"":1,""h2"":4,""h3"":5}"
"解决方案中心—DFM可制造性检查子页面.html","solution-dfm.html","yes","{""sections"":10,""cards"":16,""links"":122,""buttons"":1,""images"":13,""h1"":1,""h2"":5,""h3"":8}","{""sections"":10,""cards"":16,""links"":122,""buttons"":1,""images"":13,""h1"":1,""h2"":5,""h3"":8}"
"能力中心—3D打印服务子页面.html","service-3d-printing.html","yes","{""sections"":7,""cards"":24,""links"":125,""buttons"":1,""images"":16,""h1"":1,""h2"":3,""h3"":12}","{""sections"":7,""cards"":24,""links"":125,""buttons"":1,""images"":16,""h1"":1,""h2"":3,""h3"":12}"
"能力中心—薄板加工子页面.html","capability-sheet-metal.html","yes","{""sections"":7,""cards"":24,""links"":125,""buttons"":1,""images"":16,""h1"":1,""h2"":3,""h3"":12}","{""sections"":7,""cards"":24,""links"":125,""buttons"":1,""images"":16,""h1"":1,""h2"":3,""h3"":12}"
"能力中心—表面处理部分.html","capabilities-finishes.html","yes","{""sections"":7,""cards"":36,""links"":129,""buttons"":7,""images"":21,""h1"":1,""h2"":3,""h3"":15}","{""sections"":7,""cards"":36,""links"":129,""buttons"":7,""images"":21,""h1"":1,""h2"":3,""h3"":15}"
"能力中心—表面处理部分子页面.html","capability-surface-finishing.html","yes","{""sections"":7,""cards"":20,""links"":125,""buttons"":1,""images"":16,""h1"":1,""h2"":3,""h3"":12}","{""sections"":7,""cards"":20,""links"":125,""buttons"":1,""images"":16,""h1"":1,""h2"":3,""h3"":12}"
"能力中心—不锈钢材料子页面.html","material-stainless-steel.html","yes","{""sections"":7,""cards"":20,""links"":125,""buttons"":1,""images"":16,""h1"":1,""h2"":3,""h3"":12}","{""sections"":7,""cards"":20,""links"":125,""buttons"":1,""images"":16,""h1"":1,""h2"":3,""h3"":12}"
"能力中心—材料部分.html","capabilities-materials.html","yes","{""sections"":7,""cards"":31,""links"":127,""buttons"":7,""images"":19,""h1"":1,""h2"":3,""h3"":12}","{""sections"":7,""cards"":31,""links"":127,""buttons"":7,""images"":19,""h1"":1,""h2"":3,""h3"":12}"
"能力中心—材料部分子页面.html","capability-materials.html","yes","{""sections"":7,""cards"":20,""links"":125,""buttons"":1,""images"":16,""h1"":1,""h2"":3,""h3"":12}","{""sections"":7,""cards"":20,""links"":125,""buttons"":1,""images"":16,""h1"":1,""h2"":3,""h3"":12}"
